country,country_code,region_wb,income_level,hui_daly_per_work_year,living_wage_usd_year,hui_daly_per_usd,hui_usd_per_usd,unit,capital,pathway,source
West Bank and Gaza,PSE,Middle East & North Africa,Upper middle income,0.465,13057.132141702488,8.903180172981113e-06,0.5292584485630352,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,0.898,5741.170185359439,3.910352641565958e-05,2.3245482313052994,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,0.69,8974.99059399428,1.922007585338645e-05,1.142556629180411,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,0.714,8280.6095481068,2.155638409986503e-05,1.2814408092005767,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Kosovo,XKX,Europe & Central Asia,Upper middle income,0.118,8769.869784561692,3.363789967774804e-06,0.199963858424341,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Aruba,ABW,Latin America & Caribbean,High income,0.276,15631.589234209616,4.414138509281835e-06,0.26240287782276794,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Andorra,AND,Europe & Central Asia,High income,0.118,12922.452614490161,2.2828483787142046e-06,0.1357062047210446,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Bahrain,BHR,Middle East & North Africa,High income,0.155,12848.994093059988,3.015800281278804e-06,0.1792772635208998,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Bermuda,BMU,North America,High income,0.1,12082.151864945557,2.0691678336318156e-06,0.12300375103807691,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Cayman Islands,CYM,Latin America & Caribbean,High income,0.276,26121.940859816237,2.6414576302078575e-06,0.1570240902853363,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Eritrea,ERI,Sub-Saharan Africa,Low income,0.911,8100.232391702581,2.811647727950302e-05,1.6714121083573363,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Greenland,GRL,Europe & Central Asia,High income,0.118,12922.452614490161,2.2828483787142046e-06,0.1357062047210446,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Kuwait,KWT,Middle East & North Africa,High income,0.155,12011.91720357024,3.225962961889426e-06,0.19177059423247883,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Libya,LBY,Middle East & North Africa,Upper middle income,0.451,7309.182102353099,1.5425802561917503e-05,0.9170022590957478,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Liechtenstein,LIE,Europe & Central Asia,High income,0.118,12922.452614490161,2.2828483787142046e-06,0.1357062047210446,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Monaco,MCO,Europe & Central Asia,High income,0.118,12922.452614490161,2.2828483787142046e-06,0.1357062047210446,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
New Caledonia,NCL,East Asia & Pacific,High income,0.111,11366.2209763916,2.441444703357308e-06,0.1451341218357785,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Oman,OMN,Middle East & North Africa,High income,0.155,10553.27755308204,3.6718450552533063e-06,0.21827650115458805,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
North Korea,PRK,South Asia,Low income,0.823,7221.483332510408,2.849137642868103e-05,1.6936983631793725,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
French Polynesia,PYF,East Asia & Pacific,High income,0.111,11366.2209763916,2.441444703357308e-06,0.1451341218357785,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
South Sudan,SSD,Sub-Saharan Africa,Low income,0.911,8100.232391702581,2.811647727950302e-05,1.6714121083573363,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
San Marino,SMR,Europe & Central Asia,High income,0.118,18273.767187672107,1.614335987595451e-06,0.09596581711859918,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
British Virgin Islands,VGB,Latin America & Caribbean,High income,0.276,14440.357405453351,4.778275084378617e-06,0.28404934066597126,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
